title,price,brand,image_link,url,sub_category,category,gender,promotions,metadata_features
Mammut Women's Alnasca Knit Low Rise Hiking Boots,£121.55 - £169.95,Mammut,https://m.media-amazon.com/images/I/41IyEpbhPHL.jpg,https://www.amazon.co.uk/dp/B078SXZKGW,Trekking & Hiking Boots,Trekking & Hiking Footwear,Female,40.00%,Specific activity: Via Ferrata  Hiking  Outer Material: Synthetic  Inner Material: Manmade  Sole: Rubber  Closure: Lace-Up  Material Composition: Rubber  EVA  Misc. material (Shoe sole material) Polyester  Polyurethane  Natural and synthetic textiles (Outer shoe material) Polyester  Natural and synthetic textiles (Shoe lining material)  Shoe Width: Medium
Clarks Women's Layton Step Sneaker,£65.00 - £69.00,Visit the Clarks Store,https://m.media-amazon.com/images/I/31L30W7UhCL.jpg,https://www.amazon.co.uk/dp/B08Q4DR8PW,Fashion Trainers,Fashion & Athletic Trainers,Female,12.00%,Outer Material: Smooth Leather  Inner Material: Manmade  Sole: Ethylene Vinyl Acetate  Closure: Zip  Heel Height: 2 centimetres  Heel Type: Flat  Shoe Width: Medium
JIASUQI Water Shoes Mens Womens Quick Dry Sports Aqua Shoes Unisex Swim Beach Driving Boating Shoes,£22.99 - £28.99,Visit the JIASUQI Store,https://m.media-amazon.com/images/I/41YeVmP9LoL.jpg,https://www.amazon.co.uk/dp/B08316WSF6,Water Shoes,Sports & Outdoor Shoes,Male,35.00%,NON-SLIP: Lightest slip resistant cushion sole.  PERFECT MATERIAL: Upper with stretch breathable ultra light weight fabric for fast draining and cross ventilation  give you excellent flexible and comfortable. Quick-drying materials.  Outer Material: Polyester  Inner Material: Mesh  Sole: Rubber  Closure: Lace-Up  Heel Type: Flat  Shoe Width: Medium  ELASTIC STRAPS: According to the width of the foot quickly adjust the shoes elastic and avoid the annoyance of tying your shoes.  Elastic and Breathable: Water shoes upper with stretch breathable ultra light weight fabric lycra for fast draining and cross ventilation  enjoy a barefoot feeling no matter what activity you do.  OCCASIONS: Perfect for beach  swimming  surf  pool  sailing  boating  kayaking  windsurfing  beach volleyball etc.
MARCO TOZZI Women's 2-2-23754-35 Sneaker,£29.12 - £56.85,Marco Tozzi,https://m.media-amazon.com/images/I/41g4MQxA8AL.jpg,https://www.amazon.co.uk/dp/B0824HNXX5,Fashion Trainers,Fashion & Athletic Trainers,Female,12.00%,Outer Material: Material mix made from leather and textile  Inner Material: Material mix of textile and synthetic  Sole: Synthetic  Closure: Lace-Up  Heel Height: 4 centimetres  Heel Type: Flat  Shoe Width: Medium
PUMA Men's El Rey 2 Perf Sneaker,£48.44 - £169.74,Visit the PUMA Store,https://m.media-amazon.com/images/I/31nDRF+18zL.jpg,https://www.amazon.co.uk/dp/B08411RBM3,Fashion Trainers,Fashion & Athletic Trainers,Male,36.00%,Sole: Rubber  Closure: Lace-Up  Shoe Width: Medium
T.U.K. Shoes Burgundy Rub-Off Monk Buckle Pointed Creepers 3 UK,£77.00,T.U.K. Shoes,https://m.media-amazon.com/images/I/41NTacc4AgL.jpg,https://www.amazon.co.uk/dp/B01ENA48S2,Fashion Trainers,Fashion & Athletic Trainers,Male,36.00%,Outer Material: Leather  Inner Material: Textile  Sole: Rubber  Closure: Buckle  Heel Height: 2 centimetres  Heel Type: Flat  Shoe Width: Normale
Skechers womens 155090 Skecher Street Women's Uno - Sky Pop Size:,£48.08 - £142.79,Visit the Skechers Store,https://m.media-amazon.com/images/I/41LUtoTh2VL.jpg,https://www.amazon.co.uk/dp/B08868TDGH,Fashion Trainers,Fashion & Athletic Trainers,Female,13.00%,Upper: Synthetic / textile  Outer Material: Suede  Inner Material: Suede  Sole: Suede  Closure: Lace-Up  Heel Height: 1 centimetres  Heel Type: Platform  Shoe Width: Medium
adidas Unisex Kid's Duramo Sl Running Shoe,£25.22 - £166.28,Visit the adidas Store,https://m.media-amazon.com/images/I/31ncM3oyYES.jpg,https://www.amazon.co.uk/dp/B08N6Y3BKD,Road Running Shoes,Running Shoes,Male,20.00%,Outer Material: fabric  Sole: Rubber  Closure: Lace-Up  Heel Type: No Heel  Shoe Width: medium
NINE WEST Women's Bachney Fabric Fashion Sneaker,£74.02 - £165.80,NINE WEST,https://m.media-amazon.com/images/I/41pgaDf9N6L.jpg,https://www.amazon.co.uk/dp/B00SBEOH9C,Fashion Trainers,Fashion & Athletic Trainers,Female,34.00%,Sole: Synthetic  Closure: Zipper and Lace-up  Heel Height: 1 centimetres  Heel Type: Flat  Shoe Width: Medium
Legero Women's Tanaro Trainer,£45.57 - £90.00,Legero,https://m.media-amazon.com/images/I/31WTUI615GL.jpg,https://www.amazon.co.uk/dp/B07F3YBJJC,Fashion Trainers,Fashion & Athletic Trainers,Female,24.00%,Outer Material: NAPPALEDER  Inner Material: Textile lining  Sole: Synthetic  Closure: Lace-Up  Heel Height: 2 centimetres  Heel Type: Flat  Material Composition: Textile  softly padded  Fit Type: Comfortable fit  Shoe Width: Normal  Fastening: not specified
Altra Escalante 2.5 Running Shoes - SS21,£84.51 - £149.00,Altra,https://m.media-amazon.com/images/I/41BUbcUEb0L.jpg,https://www.amazon.co.uk/dp/B082Q35XK3,Road Running Shoes,Running Shoes,Male,14.00%,Outer Material: Synthetic  Sole: Ethylene Vinyl Acetate  Closure: Lace-Up  Material Composition: Synthetic  Shoe Width: D
